Channel number,Impulses
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,1
10,0
11,0
12,0
13,0
14,1
15,0
16,0
17,0
18,1
19,1
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,1
29,0
30,0
31,0
32,1
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,1
46,0
47,0
48,0
49,0
50,1
51,2
52,1
53,0
54,0
55,2
56,1
57,0
58,2
59,3
60,5
61,7
62,11
63,18
64,7
65,7
66,9
67,10
68,14
69,9
70,4
71,15
72,9
73,13
74,13
75,12
76,4
77,13
78,9
79,11
80,9
81,10
82,8
83,8
84,11
85,17
86,10
87,7
88,11
89,11
90,7
91,14
92,14
93,8
94,14
95,17
96,7
97,8
98,12
99,12
100,17
101,12
102,15
103,20
104,9
105,16
106,22
107,17
108,13
109,26
110,15
111,34
112,16
113,23
114,21
115,23
116,21
117,26
118,31
119,22
120,16
121,22
122,24
123,34
124,20
125,23
126,30
127,41
128,9
129,22
130,17
131,24
132,27
133,22
134,27
135,28
136,17
137,32
138,29
139,27
140,32
141,33
142,32
143,24
144,20
145,33
146,31
147,31
148,31
149,41
150,34
151,26
152,31
153,35
154,24
155,41
156,24
157,46
158,35
159,47
160,27
161,40
162,43
163,39
164,38
165,41
166,38
167,39
168,32
169,49
170,45
171,46
172,38
173,42
174,56
175,32
176,46
177,47
178,64
179,72
180,44
181,57
182,48
183,64
184,50
185,45
186,52
187,75
188,60
189,65
190,49
191,61
192,33
193,66
194,49
195,63
196,63
197,55
198,63
199,66
200,52
201,71
202,60
203,65
204,80
205,77
206,71
207,86
208,59
209,74
210,69
211,82
212,80
213,62
214,80
215,67
216,66
217,77
218,49
219,75
220,65
221,66
222,86
223,85
224,54
225,71
226,81
227,75
228,74
229,74
230,78
231,78
232,70
233,80
234,80
235,99
236,75
237,78
238,71
239,77
240,84
241,75
242,70
243,98
244,78
245,77
246,79
247,70
248,47
249,78
250,66
251,98
252,82
253,79
254,92
255,135
256,59
257,84
258,82
259,74
260,84
261,77
262,108
263,68
264,69
265,96
266,74
267,79
268,80
269,85
270,80
271,71
272,60
273,82
274,91
275,80
276,91
277,66
278,87
279,90
280,76
281,85
282,84
283,98
284,85
285,72
286,75
287,103
288,78
289,94
290,84
291,64
292,99
293,86
294,98
295,68
296,66
297,78
298,83
299,99
300,106
301,90
302,74
303,90
304,81
305,117
306,85
307,107
308,85
309,75
310,91
311,71
312,78
313,109
314,92
315,84
316,75
317,87
318,82
319,131
320,58
321,87
322,101
323,60
324,99
325,83
326,102
327,69
328,74
329,92
330,80
331,88
332,111
333,78
334,88
335,107
336,67
337,95
338,86
339,96
340,94
341,88
342,100
343,88
344,98
345,102
346,93
347,114
348,91
349,92
350,102
351,122
352,99
353,89
354,116
355,101
356,120
357,89
358,116
359,92
360,88
361,98
362,100
363,104
364,100
365,116
366,93
367,108
368,79
369,116
370,113
371,105
372,99
373,105
374,121
375,103
376,86
377,117
378,90
379,148
380,113
381,129
382,94
383,137
384,77
385,129
386,129
387,127
388,140
389,84
390,122
391,106
392,103
393,152
394,114
395,122
396,134
397,109
398,125
399,114
400,110
401,136
402,136
403,131
404,123
405,112
406,129
407,120
408,137
409,137
410,120
411,153
412,120
413,134
414,137
415,150
416,87
417,115
418,120
419,109
420,133
421,122
422,139
423,97
424,109
425,122
426,112
427,138
428,133
429,111
430,136
431,134
432,117
433,113
434,129
435,127
436,122
437,97
438,117
439,119
440,89
441,150
442,125
443,110
444,98
445,104
446,122
447,134
448,67
449,106
450,125
451,113
452,122
453,94
454,119
455,99
456,110
457,106
458,86
459,111
460,138
461,126
462,107
463,98
464,101
465,107
466,113
467,120
468,110
469,97
470,121
471,100
472,110
473,120
474,94
475,141
476,95
477,114
478,84
479,136
480,71
481,118
482,117
483,94
484,119
485,109
486,127
487,106
488,77
489,125
490,98
491,93
492,134
493,121
494,117
495,92
496,80
497,101
498,124
499,136
500,122
501,120
502,127
503,106
504,102
505,138
506,123
507,126
508,110
509,130
510,119
511,178
512,77
513,136
514,108
515,125
516,112
517,118
518,138
519,112
520,121
521,127
522,99
523,127
524,129
525,117
526,145
527,98
528,92
529,119
530,105
