Channel number,Impulses
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,1
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,1
61,2
62,3
63,5
64,1
65,2
66,1
67,0
68,0
69,1
70,3
71,9
72,4
73,5
74,9
75,15
76,10
77,1
78,8
79,10
80,7
81,15
82,15
83,6
84,9
85,15
86,14
87,19
88,18
89,14
90,13
91,17
92,13
93,15
94,16
95,21
96,13
97,12
98,18
99,21
100,22
101,19
102,26
103,18
104,14
105,22
106,23
107,26
108,27
109,31
110,20
111,30
112,21
113,27
114,26
115,34
116,33
117,27
118,41
119,27
120,29
121,38
122,32
123,50
124,29
125,32
126,36
127,49
128,21
129,33
130,38
131,40
132,35
133,27
134,48
135,32
136,27
137,44
138,25
139,41
140,37
141,43
142,42
143,35
144,39
145,46
146,40
147,41
148,42
149,42
150,48
151,49
152,45
153,46
154,44
155,45
156,41
157,31
158,49
159,64
160,30
161,49
162,52
163,47
164,36
165,41
166,35
167,37
168,32
169,65
170,38
171,34
172,43
173,47
174,40
175,43
176,35
177,55
178,44
179,57
180,50
181,36
182,45
183,39
184,35
185,34
186,33
187,56
188,38
189,50
190,38
191,43
192,41
193,39
194,38
195,42
196,42
197,34
198,52
199,31
200,31
201,43
202,38
203,36
204,37
205,47
206,38
207,52
208,34
209,34
210,40
211,33
212,35
213,35
214,36
215,30
216,34
217,36
218,41
219,52
220,38
221,37
222,40
223,49
224,29
225,49
226,44
227,40
228,45
229,37
230,51
231,39
232,30
233,51
234,41
235,36
236,44
237,39
238,33
239,43
240,36
241,47
242,42
243,34
244,35
245,36
246,39
247,35
248,33
249,40
250,38
251,38
252,32
253,40
254,29
255,64
256,25
257,38
258,39
259,23
260,42
261,34
262,45
263,40
264,29
265,44
266,41
267,35
268,33
269,42
270,39
271,36
272,25
273,34
274,32
275,38
276,37
277,39
278,39
279,34
280,24
281,41
282,27
283,41
284,32
285,38
286,30
287,34
288,25
289,25
290,32
291,23
292,32
293,29
294,41
295,27
296,25
297,42
298,37
299,32
300,41
301,42
302,41
303,23
304,26
305,32
306,32
307,35
308,34
309,32
310,39
311,35
312,15
313,53
314,22
315,37
316,34
317,27
318,23
319,44
320,24
321,32
322,36
323,28
324,37
325,22
326,27
327,20
328,31
329,23
330,22
331,22
332,32
333,30
334,33
335,25
336,27
337,28
338,30
339,26
340,22
341,29
342,30
343,24
344,29
345,32
346,24
347,37
348,24
349,32
350,27
351,29
352,20
353,22
354,28
355,27
356,24
357,27
358,30
359,34
360,27
361,29
362,24
363,34
364,22
365,33
366,27
367,21
368,22
369,34
370,23
371,28
372,27
373,21
374,24
375,24
376,22
377,23
378,23
379,32
380,21
381,21
382,21
383,32
384,8
385,21
386,26
387,35
388,19
389,20
390,40
391,17
392,28
393,24
394,19
395,32
396,25
397,16
398,27
399,30
400,14
401,24
402,27
403,28
404,22
405,32
406,29
407,20
408,20
409,23
410,24
411,43
412,19
413,26
414,24
415,31
416,18
417,26
418,23
419,18
420,23
421,22
422,31
423,17
424,11
425,27
426,17
427,29
428,24
429,21
430,29
431,23
432,21
433,22
434,18
435,19
436,29
437,33
438,28
439,35
440,16
441,25
442,18
443,25
444,21
445,22
446,16
447,21
448,15
449,32
450,15
451,19
452,20
453,35
454,17
455,23
456,22
457,25
458,10
459,21
460,25
461,21
462,25
463,24
464,14
465,17
466,14
467,26
468,17
469,16
470,19
471,11
472,19
473,29
474,13
475,26
476,19
477,21
478,23
479,30
480,10
481,22
482,29
483,18
484,26
485,22
486,28
487,22
488,15
489,33
490,20
491,14
492,21
493,21
494,18
495,17
496,14
497,18
498,15
499,20
500,22
501,17
502,27
503,19
504,30
505,23
506,23
507,23
508,20
509,18
510,18
511,27
512,13
513,18
514,20
515,27
516,11
517,14
518,27
519,19
520,11
521,21
522,7
523,14
524,14
525,12
526,19
527,15
528,15
529,21
530,15
