Channel number,Impulses
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,2
62,2
63,2
64,0
65,0
66,0
67,0
68,2
69,0
70,1
71,2
72,1
73,2
74,2
75,2
76,5
77,3
78,8
79,10
80,4
81,5
82,4
83,4
84,3
85,3
86,7
87,6
88,4
89,6
90,7
91,11
92,6
93,6
94,7
95,7
96,2
97,2
98,7
99,6
100,11
101,8
102,3
103,10
104,13
105,14
106,6
107,16
108,15
109,17
110,10
111,15
112,11
113,7
114,17
115,14
116,14
117,12
118,11
119,16
120,15
121,11
122,14
123,20
124,10
125,20
126,12
127,23
128,6
129,23
130,11
131,21
132,10
133,13
134,11
135,16
136,13
137,12
138,14
139,18
140,11
141,22
142,17
143,16
144,17
145,22
146,19
147,26
148,16
149,19
150,13
151,16
152,17
153,24
154,25
155,22
156,18
157,21
158,16
159,19
160,15
161,14
162,21
163,16
164,20
165,15
166,13
167,20
168,16
169,19
170,18
171,22
172,14
173,21
174,21
175,11
176,24
177,28
178,14
179,20
180,17
181,19
182,26
183,23
184,10
185,22
186,16
187,18
188,15
189,17
190,10
191,32
192,21
193,21
194,27
195,13
196,18
197,17
198,18
199,17
200,15
201,29
202,18
203,18
204,21
205,28
206,21
207,16
208,16
209,16
210,17
211,15
212,23
213,22
214,14
215,24
216,12
217,18
218,13
219,17
220,23
221,16
222,24
223,23
224,17
225,20
226,22
227,16
228,19
229,14
230,20
231,21
232,20
233,15
234,25
235,18
236,19
237,15
238,10
239,19
240,18
241,18
242,24
243,25
244,19
245,13
246,16
247,16
248,11
249,14
250,14
251,16
252,15
253,16
254,9
255,29
256,11
257,14
258,17
259,12
260,15
261,18
262,15
263,12
264,16
265,16
266,11
267,15
268,23
269,14
270,19
271,13
272,13
273,17
274,12
275,9
276,14
277,15
278,15
279,13
280,9
281,21
282,20
283,15
284,20
285,16
286,12
287,23
288,8
289,12
290,23
291,17
292,20
293,15
294,16
295,12
296,14
297,18
298,12
299,15
300,12
301,16
302,15
303,17
304,17
305,15
306,14
307,10
308,19
309,16
310,10
311,16
312,19
313,10
314,14
315,14
316,25
317,13
318,12
319,15
320,10
321,9
322,15
323,14
324,11
325,12
326,6
327,18
328,15
329,18
330,14
331,17
332,19
333,9
334,6
335,19
336,12
337,14
338,11
339,15
340,18
341,9
342,9
343,8
344,8
345,18
346,14
347,16
348,7
349,12
350,12
351,10
352,15
353,17
354,11
355,4
356,13
357,14
358,9
359,12
360,8
361,20
362,11
363,6
364,8
365,9
366,14
367,9
368,14
369,14
370,9
371,18
372,9
373,8
374,11
375,9
376,12
377,12
378,10
379,13
380,11
381,9
382,15
383,13
384,9
385,14
386,14
387,15
388,16
389,9
390,10
391,10
392,8
393,25
394,13
395,10
396,12
397,8
398,15
399,16
400,11
401,9
402,7
403,10
404,10
405,11
406,11
407,9
408,7
409,8
410,11
411,8
412,13
413,14
414,13
415,11
416,4
417,3
418,12
419,10
420,13
421,10
422,13
423,11
424,7
425,15
426,7
427,12
428,14
429,11
430,11
431,12
432,12
433,9
434,7
435,7
436,10
437,7
438,11
439,10
440,12
441,9
442,13
443,12
444,12
445,10
446,15
447,21
448,7
449,9
450,15
451,10
452,12
453,6
454,9
455,13
456,10
457,9
458,7
459,10
460,14
461,11
462,8
463,6
464,13
465,10
466,9
467,7
468,6
469,11
470,12
471,7
472,9
473,9
474,11
475,8
476,5
477,7
478,9
479,12
480,10
481,9
482,5
483,10
484,9
485,12
486,11
487,16
488,8
489,14
490,5
491,8
492,12
493,11
494,10
495,6
496,8
497,15
498,9
499,16
500,9
501,14
502,7
503,13
504,13
505,14
506,12
507,20
508,10
509,10
510,5
511,13
512,7
513,10
514,9
515,6
516,8
517,5
518,12
519,9
520,14
521,8
522,9
523,7
524,8
525,16
526,15
527,8
528,9
529,12
530,15
