Channel number,Impulses
0,2
1,3
2,3
3,3
4,3
5,2
6,5
7,2
8,2
9,5
10,1
11,0
12,6
13,2
14,1
15,2
16,2
17,2
18,3
19,2
20,1
21,1
22,5
23,2
24,2
25,2
26,1
27,4
28,1
29,4
30,1
31,7
32,5
33,2
34,5
35,1
36,2
37,1
38,3
39,2
40,0
41,1
42,2
43,3
44,3
45,2
46,3
47,3
48,2
49,0
50,1
51,4
52,2
53,4
54,3
55,4
56,2
57,5
58,3
59,5
60,9
61,4
62,4
63,8
64,2
65,2
66,7
67,10
68,7
69,8
70,7
71,11
72,13
73,16
74,14
75,20
76,10
77,12
78,11
79,19
80,6
81,11
82,12
83,18
84,10
85,13
86,18
87,12
88,20
89,17
90,17
91,25
92,21
93,19
94,19
95,19
96,13
97,13
98,15
99,12
100,22
101,18
102,28
103,29
104,22
105,16
106,15
107,22
108,24
109,33
110,32
111,24
112,20
113,21
114,24
115,34
116,25
117,17
118,27
119,31
120,36
121,39
122,33
123,45
124,36
125,40
126,34
127,60
128,27
129,49
130,56
131,44
132,62
133,43
134,52
135,44
136,47
137,54
138,46
139,55
140,62
141,56
142,56
143,62
144,52
145,63
146,64
147,71
148,53
149,71
150,70
151,53
152,46
153,72
154,61
155,87
156,59
157,79
158,53
159,107
160,52
161,64
162,65
163,78
164,59
165,70
166,67
167,74
168,59
169,80
170,68
171,63
172,56
173,85
174,68
175,80
176,67
177,81
178,63
179,61
180,58
181,60
182,63
183,58
184,50
185,74
186,55
187,80
188,56
189,59
190,52
191,63
192,46
193,64
194,50
195,74
196,69
197,66
198,76
199,44
200,53
201,80
202,47
203,71
204,89
205,69
206,67
207,60
208,41
209,56
210,59
211,62
212,50
213,54
214,51
215,55
216,57
217,79
218,54
219,51
220,65
221,68
222,58
223,73
224,40
225,48
226,74
227,59
228,50
229,51
230,73
231,59
232,53
233,66
234,61
235,51
236,58
237,62
238,60
239,55
240,40
241,58
242,56
243,71
244,43
245,44
246,55
247,50
248,53
249,59
250,59
251,69
252,49
253,58
254,63
255,151
256,25
257,50
258,65
259,63
260,74
261,57
262,64
263,56
264,56
265,75
266,66
267,70
268,73
269,66
270,68
271,52
272,62
273,71
274,51
275,58
276,48
277,44
278,63
279,60
280,58
281,86
282,56
283,74
284,64
285,68
286,81
287,80
288,54
289,60
290,68
291,57
292,67
293,62
294,79
295,62
296,50
297,69
298,63
299,71
300,66
301,75
302,56
303,76
304,65
305,67
306,58
307,63
308,84
309,75
310,95
311,71
312,57
313,64
314,73
315,67
316,56
317,74
318,75
319,88
320,44
321,82
322,62
323,66
324,78
325,67
326,80
327,70
328,62
329,77
330,61
331,54
332,74
333,76
334,67
335,75
336,61
337,71
338,60
339,77
340,59
341,54
342,68
343,57
344,59
345,79
346,61
347,71
348,62
349,100
350,64
351,85
352,53
353,71
354,77
355,63
356,67
357,67
358,70
359,76
360,55
361,77
362,62
363,74
364,90
365,79
366,76
367,78
368,53
369,64
370,77
371,78
372,76
373,57
374,84
375,69
376,60
377,79
378,50
379,65
380,67
381,62
382,63
383,91
384,53
385,78
386,69
387,77
388,77
389,86
390,70
391,62
392,60
393,74
394,73
395,94
396,78
397,70
398,74
399,65
400,72
401,98
402,69
403,77
404,88
405,82
406,89
407,62
408,66
409,76
410,68
411,89
412,67
413,65
414,84
415,102
416,51
417,79
418,66
419,95
420,76
421,80
422,72
423,96
424,87
425,94
426,89
427,80
428,102
429,75
430,87
431,92
432,76
433,72
434,89
435,82
436,72
437,71
438,109
439,82
440,42
441,115
442,88
443,79
444,86
445,100
446,80
447,116
448,71
449,79
450,84
451,64
452,91
453,68
454,105
455,86
456,74
457,68
458,88
459,74
460,98
461,87
462,85
463,105
464,76
465,103
466,92
467,98
468,87
469,71
470,88
471,77
472,89
473,105
474,95
475,107
476,100
477,89
478,99
479,130
480,72
481,113
482,105
483,91
484,101
485,91
486,100
487,97
488,96
489,123
490,114
491,111
492,107
493,118
494,101
495,126
496,86
497,94
498,78
499,117
500,126
501,103
502,135
503,93
504,94
505,125
506,100
507,108
508,109
509,100
510,104
511,284
512,69
513,128
514,122
515,119
516,151
517,109
518,116
519,115
520,105
521,150
522,97
523,140
524,120
525,128
526,112
527,123
528,101
529,99
530,119
531,133
532,126
533,144
534,104
535,96
536,111
537,136
538,121
539,133
540,101
541,117
542,122
543,139
544,97
545,125
546,142
547,139
548,120
549,113
550,136
551,135
552,83
553,122
554,100
555,143
556,134
557,119
558,127
559,131
560,106
561,129
562,110
563,141
564,113
565,96
566,130
567,140
568,103
569,167
570,131
571,183
572,139
573,154
574,105
575,155
576,125
577,144
578,130
579,148
580,148
581,115
