Channel number,Impulses
0,0
1,1
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,1
60,0
61,4
62,6
63,4
64,5
65,2
66,0
67,0
68,2
69,2
70,3
71,10
72,9
73,7
74,11
75,8
76,9
77,12
78,12
79,8
80,12
81,16
82,10
83,16
84,9
85,19
86,21
87,15
88,18
89,23
90,16
91,15
92,17
93,24
94,20
95,34
96,17
97,20
98,23
99,29
100,35
101,26
102,25
103,31
104,26
105,45
106,34
107,32
108,32
109,52
110,27
111,42
112,37
113,45
114,37
115,62
116,60
117,47
118,58
119,51
120,44
121,54
122,56
123,77
124,52
125,67
126,54
127,90
128,33
129,63
130,62
131,79
132,53
133,73
134,78
135,58
136,65
137,71
138,63
139,77
140,79
141,70
142,59
143,82
144,53
145,67
146,70
147,85
148,75
149,68
150,64
151,72
152,52
153,61
154,54
155,90
156,72
157,68
158,80
159,91
160,42
161,62
162,70
163,71
164,66
165,67
166,67
167,72
168,63
169,82
170,59
171,71
172,54
173,52
174,66
175,67
176,54
177,62
178,55
179,73
180,59
181,45
182,70
183,63
184,43
185,62
186,41
187,42
188,47
189,66
190,55
191,60
192,31
193,44
194,50
195,45
196,43
197,59
198,58
199,43
200,35
201,64
202,33
203,47
204,39
205,42
206,36
207,44
208,47
209,40
210,38
211,48
212,31
213,33
214,35
215,35
216,38
217,38
218,36
219,35
220,29
221,47
222,33
223,48
224,24
225,36
226,49
227,44
228,42
229,33
230,36
231,46
232,29
233,31
234,35
235,49
236,39
237,33
238,37
239,29
240,28
241,33
242,26
243,29
244,41
245,26
246,39
247,28
248,21
249,39
250,30
251,34
252,41
253,34
254,32
255,56
256,29
257,47
258,38
259,36
260,32
261,19
262,39
263,32
264,33
265,43
266,21
267,33
268,40
269,34
270,34
271,43
272,21
273,30
274,29
275,37
276,22
277,21
278,33
279,25
280,27
281,38
282,25
283,29
284,21
285,37
286,25
287,40
288,22
289,32
290,21
291,30
292,24
293,26
294,28
295,24
296,28
297,34
298,23
299,25
300,38
301,32
302,35
303,25
304,24
305,36
306,28
307,29
308,30
309,25
310,25
311,20
312,17
313,27
314,21
315,34
316,33
317,21
318,33
319,38
320,11
321,31
322,26
323,40
324,31
325,31
326,30
327,20
328,26
329,26
330,33
331,25
332,31
333,28
334,30
335,23
336,25
337,26
338,28
339,34
340,24
341,20
342,27
343,24
344,19
345,26
346,23
347,33
348,21
349,17
350,31
351,28
352,26
353,30
354,23
355,20
356,22
357,35
358,23
359,27
360,30
361,35
362,24
363,24
364,28
365,28
366,29
367,32
368,21
369,21
370,25
371,23
372,23
373,19
374,39
375,27
376,17
377,21
378,20
379,30
380,16
381,25
382,27
383,16
384,14
385,32
386,32
387,31
388,23
389,24
390,44
391,14
392,18
393,22
394,26
395,33
396,28
397,35
398,25
399,22
400,21
401,28
402,20
403,33
404,31
405,26
406,25
407,24
408,26
409,29
410,26
411,31
412,35
413,33
414,22
415,28
416,12
417,33
418,27
419,21
420,23
421,26
422,32
423,34
424,21
425,33
426,24
427,21
428,37
429,27
430,29
431,14
432,26
433,31
434,40
435,31
436,42
437,28
438,33
439,28
440,19
441,38
442,25
443,32
444,34
445,37
446,29
447,36
448,20
449,39
450,30
451,39
452,39
453,40
454,33
455,30
456,32
457,41
458,27
459,34
460,35
461,36
462,46
463,42
464,27
465,49
466,47
467,59
468,44
469,38
470,36
471,38
472,45
473,49
474,44
475,54
476,40
477,45
478,57
479,62
480,47
481,63
482,66
483,48
484,62
485,49
486,87
487,59
488,53
489,63
490,60
491,67
492,93
493,70
494,83
495,71
496,52
497,69
498,69
499,73
500,65
501,76
502,93
503,65
504,75
505,82
506,56
507,86
508,74
509,88
510,83
511,108
512,37
513,91
514,91
515,92
516,92
517,73
518,107
519,76
520,83
521,93
522,100
523,69
524,111
525,72
526,74
527,71
528,57
529,84
530,76
531,102
532,68
533,64
534,68
535,57
536,60
537,76
538,47
539,66
540,45
541,50
542,52
543,64
544,34
545,49
546,58
547,46
548,48
549,32
550,46
551,44
552,32
553,45
554,32
555,43
556,50
557,39
558,30
559,28
560,19
561,32
562,20
563,36
564,36
565,31
566,23
567,20
568,23
569,40
570,14
571,27
572,15
573,25
574,22
575,25
576,13
577,24
578,25
579,21
580,28
581,18
582,15
583,11
584,18
585,14
586,10
587,22
588,20
589,18
590,19
591,13
592,15
593,26
594,24
595,20
596,19
597,15
598,25
599,18
600,17
601,18
602,13
603,17
604,13
605,21
606,24
607,22
608,12
609,17
610,23
611,13
612,22
613,13
614,20
615,13
616,12
617,22
618,11
619,12
620,18
621,21
622,13
623,18
624,17
625,13
626,22
627,25
628,17
629,15
630,15
631,21
632,22
633,18
634,8
635,25
636,12
637,19
638,15
639,15
640,6
641,14
642,16
643,16
644,20
645,14
646,17
647,16
648,17
649,18
650,10
651,15
652,16
653,15
654,20
655,14
656,17
657,15
658,20
659,20
660,24
661,13
662,19
663,13
664,16
665,13
666,13
667,8
668,13
669,18
670,15
671,16
672,5
673,17
674,10
675,15
676,16
677,14
678,21
679,13
680,8
681,23
682,12
683,13
684,9
685,15
686,20
687,14
688,13
689,17
690,12
691,18
692,20
693,17
694,18
695,21
696,11
697,11
698,12
699,20
700,16
701,20
702,18
703,21
704,14
705,14
706,16
707,12
708,21
709,14
710,15
711,16
712,20
713,18
714,15
715,17
716,28
717,17
718,21
719,20
720,13
721,17
722,18
723,20
724,18
725,18
726,22
727,20
728,18
729,26
730,11
731,17
732,17
733,17
734,21
735,21
736,17
737,23
738,18
739,26
740,19
741,12
742,24
743,19
744,20
745,26
746,19
747,19
748,26
749,26
750,15
751,20
752,12
753,23
754,23
755,23
756,20
757,13
758,23
759,19
760,16
761,28
762,20
763,26
764,30
765,16
766,25
767,28
768,11
769,16
770,30
771,15
772,18
773,17
774,18
775,13
776,20
777,16
778,11
779,16
780,17
781,20
782,13
783,13
784,12
785,17
786,20
787,16
788,14
789,16
790,23
791,12
792,13
793,14
794,12
795,15
796,19
797,12
798,13
799,11
800,9
801,16
802,14
803,20
804,8
805,7
806,14
807,15
808,7
809,17
810,9
811,15
812,9
813,13
814,12
815,6
816,9
817,12
818,10
819,11
820,6
821,10
822,17
823,9
824,5
825,16
826,12
827,10
828,9
829,11
830,9
831,7
832,4
833,8
834,10
835,10
836,11
837,10
838,15
839,12
840,7
841,12
842,7
843,8
844,5
845,10
846,7
847,9
848,5
849,8
850,8
851,6
852,10
853,10
854,6
855,6
856,9
857,8
858,5
859,8
860,8
861,12
862,7
863,7
864,5
865,7
866,12
867,8
868,5
869,5
870,9
871,11
872,6
873,9
874,6
875,4
876,9
877,10
878,5
879,10
880,3
881,6
882,5
883,9
884,6
885,11
886,12
887,7
888,6
889,7
890,13
891,10
892,12
893,8
894,7
895,9
896,7
897,10
898,9
899,5
900,9
901,6
902,12
903,5
904,5
905,14
906,11
907,7
908,9
909,5
910,9
911,8
912,6
913,12
914,3
915,14
916,5
917,10
918,6
919,4
920,8
921,9
922,9
923,6
924,9
925,4
926,13
927,11
928,4
929,12
930,6
931,5
932,8
933,4
934,9
935,9
936,14
937,7
938,3
939,9
940,10
941,11
942,6
943,11
944,8
945,12
946,6
947,7
948,8
949,6
950,12
951,6
952,9
953,5
954,7
955,7
956,7
957,7
958,5
959,7
960,5
961,9
962,6
963,6
964,10
965,5
966,7
967,4
968,6
969,2
970,6
971,7
972,13
973,7
974,11
975,9
976,4
977,5
978,4
979,11
980,9
981,5
982,11
983,8
984,13
985,13
986,3
987,11
988,8
989,6
990,12
991,10
992,2
993,6
994,8
995,6
996,10
997,4
998,8
999,9
1000,7
1001,10
1002,8
1003,7
1004,8
1005,9
1006,7
1007,5
1008,7
1009,7
1010,8
1011,10
1012,10
1013,9
1014,6
1015,8
1016,7
1017,4
1018,5
1019,5
1020,6
1021,8
1022,3
1023,6
1024,1
1025,12
1026,13
1027,6
1028,5
1029,3
1030,13
1031,5
1032,7
1033,8
1034,4
1035,13
1036,15
1037,4
1038,12
1039,8
1040,5
1041,15
1042,7
1043,5
1044,11
1045,3
1046,15
1047,6
1048,4
1049,9
1050,5
1051,17
1052,5
1053,13
1054,3
1055,9
1056,8
1057,8
1058,8
1059,7
